name,ISO3,continent,C-ISO3
Algeria,DZA,Africa,AF
Angola,AGO,Africa,AF
Benin,BEN,Africa,AF
Botswana,BWA,Africa,AF
British Indian Ocean Territory,IOT,Africa,AF
Burkina Faso,BFA,Africa,AF
Burundi,BDI,Africa,AF
Cabo Verde,CPV,Africa,AF
Cameroon,CMR,Africa,AF
Central African Rep,CAF,Africa,AF
Chad,TCD,Africa,AF
Comoros,COM,Africa,AF
Congo,COG,Africa,AF
"Congo, Dem Rep of the",COD,Africa,AF
Côte d'Ivoire,CIV,Africa,AF
Djibouti,DJI,Africa,AF
Egypt,EGY,Africa,AF
Equatorial Guinea,GNQ,Africa,AF
Eritrea,ERI,Africa,AF
Eswatini,SWZ,Africa,AF
Ethiopia,ETH,Africa,AF
French Southern Territories,ATF,Africa,AF
Gabon,GAB,Africa,AF
"Gambia, The",GMB,Africa,AF
Ghana,GHA,Africa,AF
Guinea,GIN,Africa,AF
Guinea-Bissau,GNB,Africa,AF
Kenya,KEN,Africa,AF
Lesotho,LSO,Africa,AF
Liberia,LBR,Africa,AF
Libya,LBY,Africa,AF
Madagascar,MDG,Africa,AF
Malawi,MWI,Africa,AF
Mali,MLI,Africa,AF
Mauritania,MRT,Africa,AF
Mauritius,MUS,Africa,AF
Mayotte,MYT,Africa,AF
Morocco,MAR,Africa,AF
Mozambique,MOZ,Africa,AF
Namibia,NAM,Africa,AF
Niger,NER,Africa,AF
Nigeria,NGA,Africa,AF
Réunion,REU,Africa,AF
Rwanda,RWA,Africa,AF
"Saint Helena, Ascension & Tristan da Cunha",SHN,Africa,AF
Sao Tome & Principe,STP,Africa,AF
Senegal,SEN,Africa,AF
Seychelles,SYC,Africa,AF
Sierra Leone,SLE,Africa,AF
Somalia,SOM,Africa,AF
South Africa,ZAF,Africa,AF
South Sudan,SSD,Africa,AF
Sudan,SDN,Africa,AF
Tanzania,TZA,Africa,AF
Togo,TGO,Africa,AF
Tunisia,TUN,Africa,AF
Uganda,UGA,Africa,AF
Western Sahara,ESH,Africa,AF
Zambia,ZMB,Africa,AF
Zimbabwe,ZWE,Africa,AF
Anguilla,AIA,North America,NA
Antigua & Barbuda,ATG,North America,NA
Argentina,ARG,South America,SA
Aruba,ABW,North America,NA
"Bahamas, The",BHS,North America,NA
Barbados,BRB,North America,NA
Belize,BLZ,North America,NA
Bermuda,BMU,North America,NA
Bolivia,BOL,South America,SA
"Bonaire, Sint Eustatius & Saba",BES,North America,NA
Bouvet Island,BVT,South America,SA
Brazil,BRA,South America,SA
Canada,CAN,North America,NA
Cayman Is,CYM,North America,NA
Chile,CHL,South America,SA
Colombia,COL,South America,SA
Costa Rica,CRI,North America,NA
Cuba,CUB,North America,NA
Curaçao,CUW,North America,NA
Dominica,DMA,North America,NA
Dominican Republic,DOM,North America,NA
Ecuador,ECU,South America,SA
El Salvador,SLV,North America,NA
Falkland Is (Malvinas),FLK,South America,SA
French Guiana,GUF,South America,SA
Greenland,GRL,North America,NA
Grenada,GRD,North America,NA
Guadeloupe,GLP,North America,NA
Guatemala,GTM,North America,NA
Guyana,GUY,South America,SA
Haiti,HTI,North America,NA
Honduras,HND,North America,NA
Jamaica,JAM,North America,NA
Martinique,MTQ,North America,NA
Mexico,MEX,North America,NA
Montserrat,MSR,North America,NA
Nicaragua,NIC,North America,NA
Panama,PAN,North America,NA
Paraguay,PRY,South America,SA
Peru,PER,South America,SA
Puerto Rico,PRI,North America,NA
St Barthélemy,BLM,North America,NA
St Kitts & Nevis,KNA,North America,NA
St Lucia,LCA,North America,NA
St Martin (French part),MAF,North America,NA
St Pierre & Miquelon,SPM,North America,NA
St Vincent & the Grenadines,VCT,North America,NA
Sint Maarten (Dutch part),SXM,North America,NA
South Georgia & the South Sandwich Is,SGS,South America,SA
Suriname,SUR,South America,SA
Trinidad & Tobago,TTO,North America,NA
Turks & Caicos Is,TCA,North America,NA
United States,USA,North America,NA
Uruguay,URY,South America,SA
Venezuela,VEN,South America,SA
Virgin Is (British),VGB,North America,NA
Virgin Is (U.S.),VIR,North America,NA
Afghanistan,AFG,Asia,AS
Armenia,ARM,Asia,AS
Azerbaijan,AZE,Asia,AS
Bahrain,BHR,Asia,AS
Bangladesh,BGD,Asia,AS
Bhutan,BTN,Asia,AS
Brunei,BRN,Asia,AS
Cambodia,KHM,Asia,AS
China,CHN,Asia,AS
Cyprus,CYP,Asia,AS
Georgia,GEO,Asia,AS
Hong Kong,HKG,Asia,AS
India,IND,Asia,AS
Indonesia,IDN,Asia,AS
Iran,IRN,Asia,AS
Iraq,IRQ,Asia,AS
Israel,ISR,Asia,AS
Japan,JPN,Asia,AS
Jordan,JOR,Asia,AS
Kazakhstan,KAZ,Asia,AS
"Korea, North",PRK,Asia,AS
"Korea, South",KOR,Asia,AS
Kuwait,KWT,Asia,AS
Kyrgyzstan,KGZ,Asia,AS
Laos,LAO,Asia,AS
Lebanon,LBN,Asia,AS
Macao,MAC,Asia,AS
Malaysia,MYS,Asia,AS
Maldives,MDV,Asia,AS
Mongolia,MNG,Asia,AS
Myanmar,MMR,Asia,AS
Nepal,NPL,Asia,AS
Oman,OMN,Asia,AS
Pakistan,PAK,Asia,AS
"Palestine, State of",PSE,Asia,AS
Philippines,PHL,Asia,AS
Qatar,QAT,Asia,AS
Saudi Arabia,SAU,Asia,AS
Singapore,SGP,Asia,AS
Sri Lanka,LKA,Asia,AS
Syria,SYR,Asia,AS
Taiwan,TWN,Asia,AS
Tajikistan,TJK,Asia,AS
Thailand,THA,Asia,AS
Timor-Leste,TLS,Asia,AS
Turkey,TUR,Asia,AS
Turkmenistan,TKM,Asia,AS
United Arab Emirates,ARE,Asia,AS
Uzbekistan,UZB,Asia,AS
Vietnam,VNM,Asia,AS
Yemen,YEM,Asia,AS
Åland Is,ALA,Europe,EU
Albania,ALB,Europe,EU
Andorra,AND,Europe,EU
Austria,AUT,Europe,EU
Belarus,BLR,Europe,EU
Belgium,BEL,Europe,EU
Bosnia & Herzegovina,BIH,Europe,EU
Bulgaria,BGR,Europe,EU
Croatia,HRV,Europe,EU
Czechia,CZE,Europe,EU
Denmark,DNK,Europe,EU
Estonia,EST,Europe,EU
Faroe Is,FRO,Europe,EU
Finland,FIN,Europe,EU
France,FRA,Europe,EU
Germany,DEU,Europe,EU
Gibraltar,GIB,Europe,EU
Greece,GRC,Europe,EU
Guernsey,GGY,Europe,EU
Vatican City,VAT,Europe,EU
Hungary,HUN,Europe,EU
Iceland,ISL,Europe,EU
Ireland,IRL,Europe,EU
Isle of Man,IMN,Europe,EU
Italy,ITA,Europe,EU
Jersey,JEY,Europe,EU
Latvia,LVA,Europe,EU
Liechtenstein,LIE,Europe,EU
Lithuania,LTU,Europe,EU
Luxembourg,LUX,Europe,EU
Malta,MLT,Europe,EU
Moldova,MDA,Europe,EU
Monaco,MCO,Europe,EU
Montenegro,MNE,Europe,EU
Netherlands,NLD,Europe,EU
Macedonia,MKD,Europe,EU
Norway,NOR,Europe,EU
Poland,POL,Europe,EU
Portugal,PRT,Europe,EU
Romania,ROU,Europe,EU
Russia,RUS,Europe,EU
San Marino,SMR,Europe,EU
Serbia,SRB,Europe,EU
Slovakia,SVK,Europe,EU
Slovenia,SVN,Europe,EU
Spain,ESP,Europe,EU
Svalbard & Jan Mayen,SJM,Europe,EU
Sweden,SWE,Europe,EU
Switzerland,CHE,Europe,EU
Ukraine,UKR,Europe,EU
United Kingdom,GBR,Europe,EU
American Samoa,ASM,Oceania,OC
Australia,AUS,Oceania,OC
Christmas Island,CXR,Oceania,OC
Cocos (Keeling) Is,CCK,Oceania,OC
Cook Is,COK,Oceania,OC
Fiji,FJI,Oceania,OC
French Polynesia,PYF,Oceania,OC
Guam,GUM,Oceania,OC
Heard Island & McDonald Is,HMD,Oceania,OC
Kiribati,KIR,Oceania,OC
Marshall Is,MHL,Oceania,OC
Micronesia (Federated States of),FSM,Oceania,OC
Nauru,NRU,Oceania,OC
New Caledonia,NCL,Oceania,OC
New Zealand,NZL,Oceania,OC
Niue,NIU,Oceania,OC
Norfolk Island,NFK,Oceania,OC
Northern Mariana Is,MNP,Oceania,OC
Palau,PLW,Oceania,OC
Papua New Guinea,PNG,Oceania,OC
Pitcairn,PCN,Oceania,OC
Samoa,WSM,Oceania,OC
Solomon Is,SLB,Oceania,OC
Tokelau,TKL,Oceania,OC
Tonga,TON,Oceania,OC
Tuvalu,TUV,Oceania,OC
United States Minor Outlying Is,UMI,Oceania,OC
Vanuatu,VUT,Oceania,OC
Wallis & Futuna,WLF,Oceania,OC
